clues_ancla,nombre_cluster,ancla_entidad,ancla_nombre
VZIMB003491,VZIMB003491_71,VERACRUZ DE IGNACIO DE LA LLAVE,HOSPITAL GENERAL PAPANTLA DR. JOSÉ BUILL BELENGUER
VZIMB003911,VZIMB003911_72,VERACRUZ DE IGNACIO DE LA LLAVE,HOSPITAL GENERAL SAN ANDRÉS TUXTLA. DR. BERNARDO PEÑA
VZIMB006315,VZIMB006315_73,VERACRUZ DE IGNACIO DE LA LLAVE,HOSPITAL GENERAL DE OLUTA-ACAYUCAN
VZIMB007575,VZIMB007575_74,VERACRUZ DE IGNACIO DE LA LLAVE,HOSPITAL GENERAL ISLA
VZIMB008053,VZIMB008053_75,VERACRUZ DE IGNACIO DE LA LLAVE,HOSPITAL GENERAL ÁLAMO
ZSIMB000113,ZSIMB000113_76,ZACATECAS,HOSPITAL GENERAL FRESNILLO (DR. JOSÉ HARO ÁVILA)
ZSIMB000492,ZSIMB000492_77,ZACATECAS,HOSPITAL COMUNITARIO JALPA (DR CALIXTO MEDINA MEDINA)
ZSIMB002481,ZSIMB002481_78,ZACATECAS,HOSPITAL GENERAL ZACATECAS LUZ GONZÁLEZ COSIO
BSIMB000754,BSIMB000754_2,BAJA CALIFORNIA SUR,HOSPITAL GENERAL DE CIUDAD CONSTITUCIÓN
OCIMB009071,OCIMB009071_36,OAXACA,HG PUTLA AMIGO DE LA NIÑEZ Y DE LA MADRE
TSIMB001260,TSIMB001260_68,TAMAULIPAS,HOSPITAL GENERAL REYNOSA DR. JOSÉ MARÍA CANTÚ GARZA
CCIMB001531,CCIMB001531_3,CAMPECHE,HOSPITAL GENERAL DE ESCARCEGA DR. JANELL ROMERO AGUILAR
GRIMB001436,GRIMB001436_12,GUERRERO,DR. JUVENTINO RODRÍGUEZ GARCÍA
CSIMB000460,CSIMB000460_10,CHIAPAS,HOSPITAL GENERAL MARÍA IGNACIA GANDULFO COMITAN
